repository,file,wmc,dit,noc,cbo,rfc,lcom,lcom_star,num_methods,num_static_methods,num_fields,num_static_fields,tcc,lcc,num_classes
NationalSecurityAgency/datawave,core/annotation/src/test/java/datawave/annotation/data/transform/VisibilityTransformerTest.java,22,1,0,12,36,28,0,10,4,2,2,0.0,0.0,2
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/index/lookup/Intersection.java,105,2,0,18,90,71,0,31,9,15,2,0.6666667,1.0,2
NationalSecurityAgency/datawave,core/base-rest-responses/src/main/java/datawave/webservice/query/exception/TimeoutQueryException.java,12,4,1,2,0,66,0,12,0,1,1,0.0,0.0,1
NationalSecurityAgency/datawave,warehouse/age-off/src/test/java/datawave/ingest/util/cache/watch/FileRuleDataTypeMergeTest.java,4,1,0,10,11,1,0,3,1,4,2,0.0,0.0,1
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/IndexValueHoleQueryTest.java,15,4,0,15,23,1,0,12,1,15,15,0.41666666,0.41666666,3
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/mapreduce/job/statsd/StatsDEnabledClassesTest.java,64,6,0,18,29,1273,0,64,0,1,0,0.0007843137,0.0007843137,6
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/data/parsers/KeyParserFactory.java,5,1,0,5,0,1,0,2,1,0,0,0.0,0.0,2
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/common/grouping/Group.java,17,1,0,10,14,26,0,16,0,5,0,0.39166668,1.0,1
NationalSecurityAgency/datawave,core/base-rest-responses/src/test/java/datawave/webservice/query/exception/QueryExceptionTest.java,12,1,0,5,14,0,0,12,0,7,1,1.0,1.0,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/CloseableIterable.java,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1
NationalSecurityAgency/datawave,microservices/starters/datawave/src/main/java/datawave/microservice/authorization/jwt/JWTPreauthToken.java,9,1,0,2,4,26,0,8,0,2,1,0.035714287,0.035714287,1
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/normalizer/regex/DigitCharClassNode.java,5,2,0,4,1,10,0,5,0,0,0,0.0,0.0,1
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/normalizer/regex/visitor/EqualityVisitor.java,28,1,0,23,5,231,0,22,1,0,0,0.0,0.0,1
NationalSecurityAgency/datawave,microservices/services/audit/service/src/test/java/datawave/microservice/audit/AuditServiceTest.java,46,3,0,33,86,10,0,28,0,13,2,1.0,1.0,10
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/index/day/DayIndexIngestUtil.java,11,1,0,7,14,39,0,10,2,3,1,0.10714286,0.10714286,1
